Name,SecondName,BirthDate,Company,Sex
Nathan,Collier,1976-10-29,Warashi,m
Justin,Smith,1988-09-14,System Soft,f
Laura,Orr,1989-07-10,Sold Out,m
Jessica,Carpenter,1978-04-16,Lighthouse Interactive,m
Erica,Lee,1992-02-16,Masque Publishing,f
Luis,Evans,1988-05-12,RED Entertainment,f
Brian,Callahan,1990-07-10,Michaelsoft,m
Jared,Black,1991-06-02,Media Entertainment,f
Jody,Conway,1990-11-20,New World Computing,m
Mackenzie,Mcintyre,1971-09-06,Genterprise,m
Janice,Clayton,1996-12-05,"Interworks Unlimited, Inc.",f
Emily,Wright,1987-11-12,Boost On,f
Edward,Lewis,1975-05-21,Stainless Games,f
Adam,Hardy,1970-11-10,EON Digital Entertainment,m
Jason,Holden,1990-08-16,Epic Games,m
Jamie,Flores,1977-03-28,Naxat Soft,m
Jennifer,Schmidt,1971-08-21,Ascaron Entertainment,m
Brian,Perez,1978-12-01,Piacci,f
Robert,Cruz,1995-08-01,Nitroplus,f
Adam,Page,1970-03-22,Paradox Development,f
Wayne,Stephens,1974-09-22,Otomate,m
Phillip,Cordova,1977-07-09,Ongakukan,m
Paige,Moreno,1992-03-16,Commseed,m
Richard,Hartman,1973-01-22,Inti Creates,m
Jessica,Maddox,1989-04-07,Takuyo,m
Michael,Levy,1991-02-18,Interchannel-Holon,f
Joshua,Lozano,1989-06-30,Rain Games,f
Diane,Adams,1996-11-01,UIG Entertainment,m
